    wfc3_x        wfc3_y      wfc3_cts    slit_num        stis_x        stis_y 
116.758000    631.905000       854.333           7      0.479000    579.688839 
126.824000    632.077000       277.441           8      2.545000    579.765944 
106.343000    638.772000      4499.776           6     -1.936000    586.650735 
135.151000    638.522000       333.530           9      2.872000    586.116048 
160.789000    648.967000       258.382          13     -3.490000    597.747376 
140.497000    650.962000      2343.344          10      0.218000    598.461152 
138.274000    658.573000       214.400          10     -2.005000    606.072152 
113.484000    660.363000       134.069           7     -2.795000    608.146839 
114.327000    669.796000      1104.932           7     -1.952000    617.579839 
 67.301000    689.724000      1547.756           1     -0.978000    638.077213 
 83.705000    735.445000       493.286           3     -0.574000    683.608422 
119.300000    794.188000       181.805           7      3.021000    741.971839 
 65.583000    798.899000       163.876           1     -2.696000    747.252213 
126.454000    810.956000       100.622           8      2.175000    758.644944 
 75.644000    900.000000        36.785           2     -0.635000    848.258317 
200.161000    913.621000     14074.470          17      3.882000    862.149423 
168.554000    935.521000      1934.484          13      4.275000    884.301376 
120.196000    947.564000       156.345           7      3.917000    895.347839 
166.730000    996.519000       442.199          13      2.451000    945.299376 
109.246000    1001.963000        10.804           6      0.967000    949.841735 
114.098000    987.953000        12.035           7     -2.181000    935.736839 
124.383000    984.483000        19.226           8      0.104000    932.171944 
 65.527000    916.175000        47.199           1     -2.752000    864.528213 
 89.528000    856.803000         8.445           4     -2.751000    804.871526 
186.835000    865.817000        57.303          16     -1.444000    814.408412 
178.278000    863.699000        19.506          15     -2.001000    812.353400 
102.288000    845.959000        10.263           5      2.009000    793.932630 
 85.452000    824.573000        11.776           3      1.173000    772.736422 
154.394000    815.115000         6.296          12     -1.885000    762.424361 
164.007000    772.429000        21.047          13     -0.272000    721.209376 
110.331000    695.866000        22.719           6      2.052000    643.744735 
 75.557000    725.520000        31.376           2     -0.722000    673.778317 
 82.435000    769.274000        12.779           3     -1.844000    717.437422 
 75.997000    755.347000        11.414           2     -0.282000    703.605317 
181.318000    752.271000        37.885          15      1.039000    700.925400 
168.387000    627.627000        81.329          13      4.108000    576.407376 
136.535000    620.714000        99.740           9      4.256000    568.308048 
 67.388000    640.975000        29.964           1     -0.891000    589.328213 
 72.365000    651.624000        23.512           1      4.086000    599.977213 
 84.624000    609.369000        37.867           3      0.345000    557.532422 
149.050000    597.628000        84.022          11      0.771000    545.032257 
162.545000    606.124000        79.083          13     -1.734000    554.904377 
154.057000    577.551000        69.173          12     -2.222000    524.860361 
100.377000    594.648000        50.175           5      0.098000    542.621630 
109.407000    578.214000       107.171           6      1.128000    526.092735 
137.227000    571.539000        91.993          10     -3.052000    519.038152 
140.472000    562.492000        92.900          10      0.193000    509.991152 
200.661000    571.962000        68.041          17      4.382000    520.490423 
193.002000    558.714000       101.513          17     -3.277000    507.242423 
152.409000    558.992000        88.910          11      4.130000    506.396257 
155.127000    552.912000        91.503          12     -1.152000    500.221361 
163.375000    518.358000       350.637          13     -0.904000    467.138376 
168.117000    510.550000       245.724          13      3.838000    459.330376 
174.604000    517.472000       215.060          14      2.325000    466.189388 
 66.374000    527.677000       335.890           1     -1.905000    476.030213 
185.661000    485.260000       431.055          16     -2.618000    433.851412 
165.459000    424.140000       458.227          13      1.180000    372.920376 
172.083000    421.571000       329.561          14     -0.196000    370.288388 
188.191000    405.447000       218.235          16     -0.088000    354.038412 
151.974000    389.453000       245.645          11      3.695000    336.857257 
153.251000    383.303000       181.055          12     -3.028000    330.612361 
160.210000    379.537000       160.243          12      3.931000    326.846361 
165.949000    379.384000       205.664          13      1.670000    328.164377 
167.062000    379.079000       200.099          13      2.783000    327.859376 
174.416000    358.977000        72.578          14      2.137000    307.694388 
170.721000    369.460000        71.451          14     -1.558000    318.177388 
103.054000    375.882000       185.861           5      2.775000    323.855630 
 87.034000    374.831000       186.216           3      2.755000    322.994422 
 79.086000    376.466000       103.961           2      2.807000    324.724317 
168.152000    330.134000        68.765          13      3.873000    278.914377 
175.231000    332.783000        55.253          14      2.952000    281.500388 
187.650000    323.224000        43.384          16     -0.629000    271.815412 
 93.852000    334.629000        61.501           4      1.573000    282.697526 
102.487000    344.307000       143.242           5      2.208000    292.280630 
124.014000    344.010000        59.317           8     -0.265000    291.698944 
133.092000    431.648000     26411.170           9      0.813000    379.242048 
173.322000    447.946000     10068.190          14      1.043000    396.663388 
157.717000    323.233000        34.780          12      1.438000    270.542361 
164.462000    313.500000        40.278          13      0.183000    262.280376 
149.345000    301.578000        46.250          11      1.066000    248.982257 
125.829000    309.290000        69.935           8      1.550000    256.978944 
 75.459000    262.105000        42.950           2     -0.820000    210.363317 
 84.547000    269.377000        37.200           3      0.268000    217.540422 
 90.648000    278.803000        31.734           4     -1.631000    226.871526 
106.876000    280.156000        36.513           6     -1.403000    228.034735 
 77.025000    229.709000        23.796           2      0.746000    177.967317 
 85.283000    218.582000        45.854           3      1.004000    166.745422 
 96.790000    208.139000        21.982           5     -3.489000    156.112630 
105.759000    228.353000        21.482           6     -2.520000    176.231735 
118.250000    225.591000        30.841           7      1.971000    173.374839 
126.737000    214.919000        36.620           8      2.458000    162.607944 
155.774000    262.304000        40.878          12     -0.505000    209.613361 
151.589000    276.104000        39.542          11      3.310000    223.508257 
161.988000    273.861000        27.453          13     -2.291000    222.641376 
172.481000    273.232000        36.137          14      0.202000    221.949388 
198.227000    264.589000        43.957          17      1.948000    213.117423 
173.068000    304.501000        74.718          14      0.789000    253.218388 
194.540000    317.909000       102.036          17     -1.739000    266.437423 
161.436000    202.947000        18.884          13     -2.843000    151.727376 
176.405000    230.569000        65.134          14      4.126000    179.286388 
193.470000    192.624000        54.918          17     -2.809000    141.152423 
114.530000    195.674000        49.224           7     -1.749000    143.457839 
 94.809000    185.258000        70.377           4      2.530000    133.326526 
 85.686000    177.659000        26.034           3      1.407000    125.822422 
 70.550000    186.475000        91.903           1      2.271000    134.828213 
190.442000    160.191000        18.790          16      2.163000    108.782412 
 81.933000    109.773000        14.634           3     -2.346000     57.936422 
100.511000     95.615000        23.871           5      0.232000     43.588630 
118.942000     89.810000        43.341           7      2.663000     37.593839 
128.479000     91.901000        24.427           8      4.200000     39.589944 
137.427000     84.463000        17.186          10     -2.852000     31.962152 
145.813000     87.483000        37.798          11     -2.466000     34.887257 
159.622000    133.596000        42.720          12      3.343000     80.905361 
186.474000    149.637000        41.325          16     -1.805000     98.228412 
123.221000    527.743000      8592.835           8     -1.058000    475.431944 
161.720000    344.349000       184.715          13     -2.559000    293.129376 
150.883000    413.037000      2054.942          11      2.604000    360.441257 
 70.774000    507.207000      4485.866           1      2.495000    455.560213 
